H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
10,0,58,152,79,140,427,400,2506,0
10,0,56,178,113,144,496,400,2030,0
10,0,56,207,128,149,543,400,2092,0
10,0,13,349,196,168,732,400,2000,0
10,0,10,359,177,213,754,411,2061,0
10,0,44,605,196,279,1113,400,2030,0
10,0,42,605,209,288,1147,400,2396,0
10,0,47,684,270,315,1333,400,2432,0
10,0,47,663,253,324,1293,400,2156,0
10,0,47,684,245,315,1293,400,2156,0
13,0,12,35,30,20,125,423,2000,0
10,0,10,35,30,20,125,417,2000,0
24,0,13,35,36,20,125,447,2000,0
102,38,29,35,61,20,264,466,2000,0
173,70,56,35,82,20,427,423,2000,0
42,0,8,35,30,20,125,400,4055,0
10,0,8,35,30,20,125,400,2702,0
10,0,54,37,44,20,159,400,2000,0
180,0,500,459,736,240,1909,400,2000,0
235,1,500,624,760,305,2500,400,2000,0
36,0,92,504,120,334,1081,429,2000,0
36,0,84,488,106,324,1049,429,2325,0
46,0,88,519,120,334,1113,447,2506,0
26,0,84,569,120,344,1147,459,2092,0
36,0,88,605,124,355,1218,453,2325,0
380,7,269,328,361,248,1595,400,4438,0
333,5,269,318,350,248,1502,400,3335,0
473,8,374,382,468,315,2027,400,3140,0
643,41,500,474,606,400,2500,400,4243,0
539,38,500,474,587,400,2500,400,4055,0
78,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
516,0,15,71,133,117,689,400,3002,0
589,0,9,42,106,64,689,400,2000,0
494,0,11,42,99,84,630,400,2000,0
10,0,28,220,113,220,453,590,2030,0
10,0,8,35,30,79,125,400,2000,0
66,0,8,35,30,20,125,400,2000,0
188,0,500,750,760,400,2500,528,3762,0
800,0,500,750,760,400,2500,971,2913,0
36,0,51,605,209,400,1049,687,2913,0
36,0,51,605,209,400,1049,687,2913,0
51,0,8,35,30,20,125,400,2000,0
48,0,58,750,230,400,1182,736,3002,0
34,0,75,750,237,400,1255,834,3047,0
10,3,58,535,161,388,1147,400,3140,0
116,4,390,705,550,400,2355,400,3188,0
180,3,500,750,760,400,2500,406,3188,0
31,0,25,43,70,101,272,400,2000,0
453,4,500,750,760,400,2500,400,2000,0
11,0,72,35,36,20,154,400,4931,0
24,0,171,40,109,55,402,400,6465,0
18,0,185,43,106,59,414,400,5732,0
82,2,500,105,373,189,1373,400,9000,0
98,0,500,152,386,207,1644,400,9000,0
10,0,8,35,32,20,125,400,2000,0
145,0,407,406,279,344,1147,574,4574,0
102,2,331,189,215,213,801,400,2000,0
107,1,292,178,189,207,732,400,2000,0
86,1,407,338,279,271,1018,543,2061,0
800,0,17,474,587,189,2089,400,2000,0
766,0,16,488,587,189,2027,400,2000,0
643,0,14,474,626,189,1967,400,2000,0
671,0,16,519,647,201,2027,400,2000,0
615,0,15,552,690,220,2089,400,2000,0
10,0,11,35,30,38,125,486,7402,0
10,0,15,35,30,44,125,543,8348,0
11,0,22,35,63,55,174,486,7402,0
766,20,500,750,760,400,2500,535,9000,0
800,85,500,750,760,400,2500,435,9000,0
11,0,54,35,35,20,133,400,2000,0
10,0,63,35,39,23,145,400,2000,0
10,0,78,35,44,21,164,400,2000,0
127,7,500,299,760,400,2500,400,2000,0
173,3,460,67,328,136,1182,400,2000,0
98,0,500,207,568,140,1415,400,2000,0
82,0,500,183,483,132,1255,400,2000,0
93,0,500,183,626,121,1415,400,2000,0
89,0,34,183,647,377,1018,400,2000,0
41,0,500,195,30,400,1147,1179,3002,0
34,0,157,535,84,355,1182,499,3002,0
10,0,128,504,46,377,1049,400,2256,0
51,2,123,71,113,55,414,400,2000,0
34,1,210,265,84,207,801,400,2030,0
29,0,238,552,128,344,1293,400,2506,0
10,0,8,35,30,20,125,400,2000,0
139,43,500,80,373,184,1644,400,2000,0
10,3,16,35,30,20,125,400,2000,0
22,4,24,35,30,20,125,400,2000,0
27,7,54,35,30,20,129,400,2000,0
800,1,45,55,202,38,1502,400,5479,0
733,1,37,55,223,39,1081,400,5996,0
800,0,44,65,279,45,2027,441,7980,0
800,1,47,73,298,51,1909,447,8603,0
800,2,47,78,318,54,1853,459,7743,0
10,0,8,35,30,20,125,400,2000,0
10,0,34,299,137,140,630,400,2000,0
10,0,15,167,65,70,326,400,2000,0
516,0,8,35,57,20,594,400,2000,0
800,0,8,35,87,20,1018,400,2000,0
12,4,15,35,30,20,125,400,2000,0
27,5,27,35,30,20,125,400,2000,0
27,6,33,35,30,20,125,400,2000,0
27,5,34,35,30,20,125,400,2000,0
39,9,54,35,30,20,141,400,2000,0
37,9,96,35,39,20,208,400,2000,0
66,18,133,35,55,25,307,423,2000,0
69,22,151,35,63,31,346,441,2000,0
69,17,157,35,63,32,346,453,2000,0
63,13,193,35,84,40,414,521,2000,0
10,2,8,35,30,20,125,400,2000,0
10,2,8,35,30,20,125,400,2000,0
13,2,12,35,30,20,125,400,2000,0
25,5,20,35,30,20,125,400,2000,0
27,7,30,35,30,20,125,400,2000,0
55,9,96,35,50,23,242,411,2000,0
66,12,113,35,61,25,289,441,2000,0
86,17,164,35,90,38,402,513,2000,0
78,15,193,35,106,45,467,558,2000,0
78,15,171,35,96,41,427,528,2000,0
10,0,500,123,202,136,959,400,2000,0
10,0,480,119,209,132,959,400,2000,0
10,0,500,127,202,140,959,400,2000,0
10,0,500,127,215,140,1081,400,2000,0
10,0,500,131,230,144,1081,400,2000,0
10,0,13,265,177,117,576,400,2000,0
10,0,12,318,230,136,689,400,2000,0
10,0,14,338,230,144,732,400,2000,0
10,0,19,432,209,173,850,400,2000,0
10,0,23,504,237,195,959,400,2000,0
10,0,8,35,30,20,125,400,3188,0
10,0,19,35,46,20,125,582,2000,0
10,0,47,63,61,20,185,400,4931,0
10,0,37,135,74,220,357,441,2124,0
292,90,269,183,189,121,1458,558,2000,0
24,0,108,35,63,35,249,400,2000,0
39,0,171,35,99,61,402,400,2000,0
53,1,345,51,161,107,710,400,2000,0
58,1,292,37,137,87,612,400,2000,0
39,1,304,54,156,110,669,400,2000,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
10,0,63,35,41,24,154,400,2000,0
10,0,113,41,67,45,264,400,2000,0
12,0,151,55,96,61,379,400,2000,0
36,0,92,35,47,32,234,550,3335,0
27,0,104,51,65,54,298,550,2827,0
27,0,104,63,74,62,326,543,2702,0
23,0,92,93,87,79,379,535,2432,0
158,90,304,241,209,184,1218,499,2702,0
10,0,8,35,30,20,125,400,2000,0
10,0,8,35,30,20,125,400,2000,0
15,0,8,35,30,20,125,400,2000,0
53,0,500,109,339,184,1182,400,2000,0
145,0,500,308,760,400,2500,400,2000,0
10,0,13,178,161,75,427,400,2000,0
10,0,13,220,209,92,543,406,2000,0
10,0,15,249,223,107,594,400,2000,0
10,0,19,328,196,128,669,400,2000,0
10,0,24,406,230,149,801,400,2000,0
10,0,14,201,177,84,481,400,2000,0
10,0,13,241,215,104,576,411,2000,0
10,0,15,273,230,117,649,406,2000,0
10,0,20,382,223,144,754,400,2000,0
10,0,25,432,245,163,876,400,2000,0
10,0,10,152,87,75,326,400,2000,0
10,0,11,178,120,77,390,400,2000,0
